World Tourism Organization (2018), Compendium of Tourism Statistics dataset [Electronic], UNWTO, Madrid, data updated on 19/09/2018.;;;;;;;;;;;;;;;;;;;;;;;;
Conceptual references and technical notes are available in the Methodological Notes to the Tourism Statistics Database:;;;;;;;;;;;;;;;;;;;;;;;;
http://statistics.unwto.org/news/2018-03-23/methodological-notes-tourism-statistics-database-2018-edition;;;;;;;;;;;;;;;;;;;;;;;;
Compendium of Tourism Statistics - Basic data and indicators;;;;;;;;;;;;;;;;;;;;;;;;
Series 3.4: Outbound tourism - Total expenditure - US$ Million;;;;;;;;;;;;;;;;;;;;;;;;
COD.;COUNTRY;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
364;Iran, Islamic Republic Of;247;274;396;155;638;671;714;3.990;4.120;4.402;4.112;5.066;7.335;8.270;8.503;10.570;10.555;8.435;9.464;10.130;9.658;9.893;..
368;Iraq;..;..;..;..;..;..;..;..;..;..;627;526;705;813;1.221;1.675;1.879;2.363;3.416;4.394;4.966;5.027;..
372;Ireland;..;..;..;..;2.712;2.626;2.956;3.835;4.832;5.291;6.186;6.978;8.785;10.539;7.934;7.178;6.837;6.001;6.222;6.173;5.789;6.216;6.702
376;Israel;2.626;2.849;2.952;3.233;3.411;3.733;3.887;3.322;3.341;3.663;4.146;4.286;4.921;4.967;4.500;4.683;4.874;5.008;5.757;6.534;7.506;8.607;9.442
380;Italy;17.201;18.619;19.676;20.539;19.588;18.167;16.997;19.635;23.728;24.062;26.774;27.438;32.755;..;..;..;..;..;..;..;..;..;..
388;Jamaica;173;181;205;223;256;238;227;274;269;318;290;315;340;312;259;235;213;418;392;457;413;424;471
392;Japan;46.966;46.800;41.381;35.334;41.213;42.643;35.526;34.977;36.505;48.175;48.096;37.655;37.258;38.971;34.787;39.306;39.760;40.967;32.244;28.609;23.252;25.783;..
400;Jordan;719;630;635;642;536;387;420;504;503;585;653;956;1.024;1.140;1.202;1.736;1.280;1.257;1.206;1.251;1.267;1.367;1.496
398;Kazakhstan;296;364;494;549;455;483;761;863;783;997;940;1.060;1.396;1.361;1.319;1.489;1.831;2.023;2.147;2.163;2.155;1.769;1.886
404;Kenya;230;205;152;..;..;156;183;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
296;Kiribati;..;..;..;..;..;..;..;..;..;..;9;..;..;..;..;..;..;..;..;..;..;..;..
408;Korea, Democratic People'S Republic Of;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
410;Korea, Republic Of;6.947;8.291;8.039;4.027;5.555;7.945;8.349;11.440;11.063;13.507;16.924;20.947;24.431;21.447;16.355;20.788;22.195;22.934;24.459;26.136;27.957;29.817;33.354
414;Kuwait;2.514;2.779;2.684;2.823;2.574;2.852;3.207;3.412;3.750;4.147;4.997;6.074;7.267;8.341;6.799;7.106;8.879;10.073;10.567;12.280;13.148;13.232;13.722
417;Kyrgyzstan;..;7;11;25;27;28;21;27;35;73;94;142;215;450;273;275;392;529;505;568;535;582;422
418;Lao People'S Democratic Republic;34;28;27;29;17;..;4;4;5;8;10;15;14;51;91;215;248;241;404;417;585;540;..
428;Latvia;62;407;379;355;321;281;255;267;365;428;655;788;1.021;..;..;..;..;..;900;887;801;880;814
422;Lebanon;..;..;..;..;..;..;..;..;3.319;3.719;3.565;3.783;3.914;4.297;4.928;4.868;4.440;4.511;4.692;5.198;5.187;5.252;..
426;Lesotho;17;16;17;16;17;195;166;164;242;278;271;263;276;248;247;278;300;252;212;177;180;178;193
430;Liberia;..;..;..;..;..;..;..;..;..;29;33;41;48;58;51;..;..;..;..;..;..;..;..
434;Libya;98;85;286;423;574;495;572;654;689;789;920;915;1.010;1.339;1.683;2.184;..;2.654;2.598;1.325;1.066;813;..
438;Liechtenstein;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
440;Lithuania;107;270;289;304;350;261;227;334;476;643;..;..;..;..;..;..;..;..;..;..;1.131;1.218;1.312
442;Luxembourg;..;..;..;..;..;..;..;1.936;2.445;2.920;3.015;3.058;3.491;3.839;3.670;3.626;3.873;3.094;3.259;3.326;2.836;2.868;..
446;Macao, China;..;..;..;..;..;..;..;512;471;529;475;506;608;695;714;883;1.064;1.155;1.236;1.344;1.336;1.306;..
450;Madagascar;79;89;101;140;133;139;179;192;67;108;164;167;188;264;225;216;288;235;256;317;240;300;..
454;Malawi;53;64;81;49;52;53;52;86;70;70;84;85;79;86;91;90;92;96;90;106;120;101;120
458;Malaysia;2.722;3.032;3.158;2.160;2.382;2.543;3.391;3.330;3.401;3.822;4.339;5.085;6.600;7.724;7.196;..;..;..;..;..;..;..;..
462;Maldives;41;48;51;55;58;60;59;60;60;75;94;106;152;211;212;252;231;207;252;271;309;347;365
466;Mali;74;69;65;67;65;66;65;62;94;125;133;196;201;228;191;167;171;164;189;231;..;..;..
470;Malta;237;244;216;221;231;224;204;180;238;291;311;362;284;..;..;..;..;..;..;..;..;..;..
584;Marshall Islands;..;..;..;..;0;0;0;0;0;0;26;23;24;25;25;22;24;26;25;24;26;27;..
474;Martinique;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
478;Mauritania;30;41;53;47;..;..;..;..;..;..;..;..;..;..;..;..;..;101;105;112;73;74;61
480;Mauritius;184;205;194;203;210;203;216;223;236;277;295;347;384;489;384;423;427;394;458;503;622;653;733
484;Mexico;3.587;3.963;4.554;4.834;5.192;6.365;6.685;7.087;7.252;8.034;8.951;9.387;9.918;10.246;8.737;9.001;9.704;10.735;11.970;12.556;12.668;12.823;13.636
583;Micronesia, Federated States Of;..;..;5;5;5;5;5;5;6;7;7;7;7;7;26;28;27;30;29;29;..;..;..
498;Moldova, Republic Of;73;77;75;73;69;86;90;109;118;135;170;224;290;359;307;298;349;396;425;449;366;330;384
492;Monaco;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
496;Mongolia;22;37;19;50;45;54;59;125;144;207;142;196;218;249;242;319;460;558;643;529;473;536;618
499;Montenegro;..;..;..;..;..;..;..;..;..;..;..;..;58;80;76;72;70;67;81;79;68;91;91
500;Montserrat;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
504;Morocco;356;353;363;496;578;506;589;669;845;912;999;1.113;1.418;1.910;1.713;1.879;2.260;2.095;2.002;2.273;2.155;2.309;2.796
508;Mozambique;..;..;..;..;140;122;132;115;141;140;187;196;209;241;247;247;264;247;313;331;322;290;237
104;Myanmar;..;..;38;31;26;30;32;34;36;32;34;40;39;50;..;..;132;265;131;119;146;201;136
516;Namibia;..;..;..;..;..;..;..;..;..;..;..;..;..;..;40;42;55;53;47;67;72;82;65
