World Tourism Organization (2018), Compendium of Tourism Statistics dataset [Electronic], UNWTO, Madrid, data updated on 19/09/2018.;;;;;;;;;;;;;;;;;;;;;;;;
Conceptual references and technical notes are available in the Methodological Notes to the Tourism Statistics Database:;;;;;;;;;;;;;;;;;;;;;;;;
http://statistics.unwto.org/news/2018-03-23/methodological-notes-tourism-statistics-database-2018-edition;;;;;;;;;;;;;;;;;;;;;;;;
Compendium of Tourism Statistics - Basic data and indicators;;;;;;;;;;;;;;;;;;;;;;;;
Series 3.6: Outbound tourism - Expenditure - passenger transport - US$ Million;;;;;;;;;;;;;;;;;;;;;;;;
COD.;COUNTRY;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
748;Swaziland;2;2;2;2;1;1;1;..;1;6;11;5;12;13;26;26;5;9;10;8;14;3;..
752;Sweden;1.368;1.389;332;872;905;911;995;920;1.079;923;1.074;1.307;1.824;1.817;1.523;1.847;..;..;..;..;..;..;..
756;Switzerland;2.058;2.172;1.957;1.940;1.879;1.941;1.944;1.673;1.731;1.820;1.747;1.895;2.127;2.370;2.054;2.287;2.719;2.802;2.941;3.072;2.468;2.313;2.413
760;Syrian Arab Republic;..;..;..;..;..;..;..;..;34;38;34;45;65;111;98;88;76;..;..;..;..;..;..
158;Taiwan Province Of China;1.030;954;1.090;1.064;1.324;1.424;1.372;1.273;922;1.206;1.365;1.660;1.659;1.594;868;1.343;1.589;1.814;1.848;1.956;1.936;2.710;..
762;Tajikistan;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;35;28;33;40;35;25;21;12
834;Tanzania, United Republic Of;..;..;17;28;33;32;36;24;22;25;23;37;21;25;40;31;29;36;67;104;134;87;..
764;Thailand;520;449;336;286;396;446;410;585;617;829;1.117;1.577;1.745;1.695;1.315;1.528;1.817;1.847;1.757;1.753;1.821;2.195;1.986
807;The Former Yugoslav Republic Of Macedonia;..;4;6;7;10;24;21;16;23;30;35;39;45;54;50;39;46;42;37;37;30;24;26
626;Timor-Leste;..;..;..;..;..;..;..;..;..;..;..;0;2;11;11;16;13;19;17;18;17;16;16
768;Togo;22;16;9;13;14;13;15;21;30;30;34;37;42;49;47;43;24;12;13;19;16;..;..
776;Tonga;..;..;..;..;..;..;..;..;10;10;12;7;7;16;12;11;13;14;11;8;9;..;..
780;Trinidad And Tobago;22;22;25;25;23;43;21;22;36;45;54;53;61;27;31;26;38;27;27;44;46;43;50
788;Tunisia;43;31;31;36;37;47;49;43;55;87;78;88;93;97;63;64;71;80;93;89;71;74;76
792;Turkey;..;..;..;..;..;..;..;..;..;..;459;528;605;685;486;623;489;491;436;403;315;242;358
