World Tourism Organization (2018), Compendium of Tourism Statistics dataset [Electronic], UNWTO, Madrid, data updated on 19/09/2018.;;;;;;;;;;;;;;;;;;;;;;;;
Conceptual references and technical notes are available in the Methodological Notes to the Tourism Statistics Database:;;;;;;;;;;;;;;;;;;;;;;;;
http://statistics.unwto.org/news/2018-03-23/methodological-notes-tourism-statistics-database-2018-edition;;;;;;;;;;;;;;;;;;;;;;;;
Compendium of Tourism Statistics - Basic data and indicators;;;;;;;;;;;;;;;;;;;;;;;;
Series 4.1: Tourism industries - Total number of establishments - Units;;;;;;;;;;;;;;;;;;;;;;;;
COD.;COUNTRY;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
512;Oman;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
586;Pakistan;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
585;Palau;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
591;Panama;..;..;..;..;..;..;819;820;858;861;927;937;1.070;1.160;1.219;1.297;1.325;1.386;1.415;1.444;1.518;1.624;2.358
598;Papua New Guinea;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
600;Paraguay;..;..;..;..;..;..;..;..;..;..;..;..;..;..;452;537;700;828;918;1.063;1.249;1.321;1.373
604;Peru;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
608;Philippines;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
616;Poland;..;..;..;..;..;..;..;..;..;..;103.018;104.403;99.311;94.005;..;..;..;..;..;..;..;..;..
620;Portugal;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;99.153;96.778;96.704;98.769;106.699;..;..
630;Puerto Rico;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
634;Qatar;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
638;Reunion;..;..;..;..;..;..;..;..;..;3.083;3.190;3.282;3.434;3.697;3.819;4.092;4.313;4.557;4.174;4.462;4.567;..;..
642;Romania;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
643;Russian Federation;..;..;..;..;..;..;..;..;..;..;..;15.265;16.336;20.327;74.143;84.471;88.989;93.326;97.992;105.345;110.690;112.950;..
646;Rwanda;..;..;..;..;..;..;..;..;..;..;..;146;154;252;263;294;420;453;..;..;..;..;..
461;Saba;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
659;Saint Kitts And Nevis;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
662;Saint Lucia;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
670;Saint Vincent And The Grenadines;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
882;Samoa;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
674;San Marino;..;..;..;..;..;..;..;..;..;..;..;39;44;43;289;301;294;292;292;269;276;277;..
678;Sao Tome And Principe;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;263;..
682;Saudi Arabia;..;..;..;..;..;..;..;..;..;29.196;28.934;30.430;38.811;41.675;43.531;44.365;43.263;46.297;48.973;53.894;51.729;56.411;..
686;Senegal;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
688;Serbia;..;..;..;..;..;..;..;669;665;689;706;24.285;21.027;21.912;22.937;23.516;22.527;22.588;23.318;24.068;26.507;27.168;28.362
690;Seychelles;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
694;Sierra Leone;..;..;..;..;..;..;..;..;..;..;..;..;204;213;239;219;192;193;203;190;189;311;..
702;Singapore;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
658;Sint Eustatius;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
663;Sint Maarten (Dutch Part);..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
703;Slovakia;901;1.068;766;1.386;1.535;1.559;2.002;2.032;2.084;2.062;23.525;25.893;26.194;27.468;25.872;26.479;26.078;26.016;23.293;25.019;24.773;..;..
705;Slovenia;6.048;6.141;6.428;6.594;6.959;7.072;7.087;7.190;7.112;7.128;7.088;7.703;7.985;9.386;9.681;10.037;10.147;10.300;11.899;11.947;12.477;12.755;..
